time,load
1/25/16 8:59,42.2
1/25/16 9:59,41.5
1/25/16 10:59,39.9
1/25/16 11:59,36.2
1/25/16 12:59,37.8
1/25/16 13:59,38.2
1/25/16 14:59,38.8
1/25/16 15:59,41.9
1/25/16 16:59,43.2
1/25/16 17:59,65.1
1/25/16 18:59,70.4
1/25/16 19:59,73.4
1/25/16 20:59,73.1
1/25/16 21:59,72.9
1/25/16 22:59,71.3
1/25/16 23:59,70.2
1/26/16 0:59,70
1/26/16 1:59,65.4
1/26/16 2:59,66.9
1/26/16 3:59,68.9
1/26/16 4:59,68.8
1/26/16 5:59,71.8
1/26/16 6:59,69.2
1/26/16 7:59,58.1
1/26/16 8:59,46.5
1/26/16 9:59,42.1
1/26/16 10:59,42.4
1/26/16 11:59,39.5
1/26/16 12:59,39.6
1/26/16 13:59,39.1
1/26/16 14:59,42.2
1/26/16 15:59,44.7
1/26/16 16:59,45.1
1/26/16 17:59,69
1/26/16 18:59,71.2
1/26/16 19:59,73.4
1/26/16 20:59,71.5
1/26/16 21:59,69.6
1/26/16 22:59,72.1
1/26/16 23:59,69.1
1/27/16 0:59,68.8
1/27/16 1:59,63.7
1/27/16 2:59,66.1
1/27/16 3:59,65.7
1/27/16 4:59,68.7
1/27/16 5:59,69.6
1/27/16 6:59,68.7
1/27/16 7:59,55.3
1/27/16 8:59,42.7
1/27/16 9:59,40.1
1/27/16 10:59,40.2
1/27/16 11:59,36.9
1/27/16 12:59,37.2
1/27/16 13:59,37.6
1/27/16 14:59,38.9
1/27/16 15:59,41
1/27/16 16:59,42.9
1/27/16 17:59,63.4
1/27/16 18:59,66.6
1/27/16 19:59,67.7
1/27/16 20:59,68.9
1/27/16 21:59,67.2
1/27/16 22:59,68.2
1/27/16 23:59,66.8
1/28/16 0:59,66.3
1/28/16 1:59,62.9
1/28/16 2:59,66.1
1/28/16 3:59,66.3
1/28/16 4:59,64.5
1/28/16 5:59,86.9
1/28/16 6:59,65.2
1/28/16 7:59,46.7
1/28/16 8:59,45.4
1/28/16 9:59,40.6
1/28/16 10:59,38.3
1/28/16 11:59,34.8
1/28/16 12:59,35.4
1/28/16 13:59,36.2
1/28/16 14:59,39.1
1/28/16 15:59,41.3
1/28/16 16:59,42.3
1/28/16 17:59,65
1/28/16 18:59,69.3
1/28/16 19:59,71.3
1/28/16 20:59,74.9
1/28/16 21:59,72.4
1/28/16 22:59,68
1/28/16 23:59,68.4
1/29/16 0:59,68.1
1/29/16 1:59,65.1
1/29/16 2:59,66.3
1/29/16 3:59,66.8
1/29/16 4:59,67.1
1/29/16 5:59,68.6
1/29/16 6:59,64.4
1/29/16 7:59,58.4
1/29/16 8:59,56.7
1/29/16 9:59,52.1
1/29/16 10:59,43.1
1/29/16 11:59,37.8
1/29/16 12:59,37.1
1/29/16 13:59,37.7
1/29/16 14:59,37.9
1/29/16 15:59,42.3
1/29/16 16:59,40.6
1/29/16 17:59,68.2
1/29/16 18:59,73.5
1/29/16 19:59,73.7
1/29/16 20:59,72.1
1/29/16 21:59,67.7
1/29/16 22:59,67.8
1/29/16 23:59,64.8
1/30/16 0:59,65.1
1/30/16 1:59,63
1/30/16 2:59,64.3
1/30/16 3:59,64.6
1/30/16 4:59,64.9
1/30/16 5:59,66.3
1/30/16 6:59,66
1/30/16 7:59,56.6
1/30/16 8:59,54.4
1/30/16 9:59,49.3
1/30/16 10:59,41.3
1/30/16 11:59,37.4
1/30/16 12:59,35
1/30/16 13:59,36.3
1/30/16 14:59,39.3
1/30/16 15:59,41.5
1/30/16 16:59,43.4
1/30/16 17:59,67.8
1/30/16 18:59,74.7
1/30/16 19:59,73.4
1/30/16 20:59,72
1/30/16 21:59,71.3
1/30/16 22:59,69.2
1/30/16 23:59,67
1/31/16 0:59,66.7
1/31/16 1:59,62.4
1/31/16 2:59,64.8
1/31/16 3:59,63.6
1/31/16 4:59,67.4
1/31/16 5:59,65.4
1/31/16 6:59,65.7
1/31/16 7:59,55.1
1/31/16 8:59,53.1
1/31/16 9:59,46.9
1/31/16 10:59,43.6
1/31/16 11:59,43.2
1/31/16 12:59,41.9
1/31/16 13:59,46.3
1/31/16 14:59,47.5
1/31/16 15:59,49.1
1/31/16 16:59,50.9
1/31/16 17:59,70
1/31/16 18:59,71.1
1/31/16 19:59,68.4
1/31/16 20:59,66.1
1/31/16 21:59,65.8
1/31/16 22:59,64.4
1/31/16 23:59,62.1
2/1/16 0:59,64.1
2/1/16 1:59,60.4
2/1/16 2:59,61.4
2/1/16 3:59,60.7
2/1/16 4:59,63.7
2/1/16 5:59,64.3
2/1/16 6:59,62.7
2/1/16 7:59,62.8
2/1/16 8:59,63.2
2/1/16 9:59,52.1
2/1/16 10:59,47.5
2/1/16 11:59,48.9
2/1/16 12:59,43.5
2/1/16 13:59,47.1
2/1/16 14:59,48.7
2/1/16 15:59,51
2/1/16 16:59,50.4
2/1/16 17:59,68.2
2/1/16 18:59,69.2
2/1/16 19:59,66.1
2/1/16 20:59,66.3
2/1/16 21:59,62.3
2/1/16 22:59,64.8
2/1/16 23:59,65.1
2/2/16 0:59,65.4
2/2/16 1:59,59.2
2/2/16 2:59,60.5
2/2/16 3:59,59.5
2/2/16 4:59,62.7
2/2/16 5:59,67.1
2/2/16 6:59,67.3
2/2/16 7:59,63.1
2/2/16 8:59,46.7
2/2/16 9:59,39.3
2/2/16 10:59,37.6
2/2/16 11:59,36.3
2/2/16 12:59,36
2/2/16 13:59,36.2
2/2/16 14:59,39.4
2/2/16 15:59,40.5
2/2/16 16:59,42.9
2/2/16 17:59,66.8
2/2/16 18:59,74.3
2/2/16 19:59,73.5
2/2/16 20:59,71.5
2/2/16 21:59,69.7
2/2/16 22:59,69
2/2/16 23:59,65.8
2/3/16 0:59,64.8
2/3/16 1:59,62
2/3/16 2:59,62
2/3/16 3:59,65.4
2/3/16 4:59,66.1
2/3/16 5:59,66.8
2/3/16 6:59,66.3
2/3/16 7:59,50
2/3/16 8:59,42.4
2/3/16 9:59,38.2
2/3/16 10:59,37.3
2/3/16 11:59,36.4
2/3/16 12:59,33.6
2/3/16 13:59,37
2/3/16 14:59,38.9
2/3/16 15:59,40.5
2/3/16 16:59,41.6
2/3/16 17:59,65.9
2/3/16 18:59,70.4
2/3/16 19:59,71.2
2/3/16 20:59,71.6
2/3/16 21:59,67.2
2/3/16 22:59,64.5
2/3/16 23:59,64.3
2/4/16 0:59,62.7
2/4/16 1:59,60.4
2/4/16 2:59,61.2
2/4/16 3:59,64.4
2/4/16 4:59,62.6
2/4/16 5:59,64.8
2/4/16 6:59,74.3
2/4/16 7:59,43.3
2/4/16 8:59,41.3
2/4/16 9:59,36.3
2/4/16 10:59,36.1
2/4/16 11:59,31.6
2/4/16 12:59,32.5
2/4/16 13:59,34.9
2/4/16 14:59,36.3
2/4/16 15:59,38
2/4/16 16:59,39.2
2/4/16 17:59,67.5
2/4/16 18:59,69.9
2/4/16 19:59,70.1
2/4/16 20:59,69.1
2/4/16 21:59,65.1
2/4/16 22:59,64.7
2/4/16 23:59,65.8
2/5/16 0:59,63.3
2/5/16 1:59,59.8
2/5/16 2:59,61.9
2/5/16 3:59,62.9
2/5/16 4:59,63.6
2/5/16 5:59,64.8
2/5/16 6:59,62.6
2/5/16 7:59,47.7
2/5/16 8:59,46
2/5/16 9:59,40
2/5/16 10:59,38
2/5/16 11:59,35.5
2/5/16 12:59,36.3
2/5/16 13:59,37.7
2/5/16 14:59,38.5
2/5/16 15:59,40.3
2/5/16 16:59,40
2/5/16 17:59,63.7
2/5/16 18:59,67.5
2/5/16 19:59,68.3
2/5/16 20:59,71.1
2/5/16 21:59,69.2
2/5/16 22:59,66.7
2/5/16 23:59,64.5
2/6/16 0:59,63.5
2/6/16 1:59,60.7
2/6/16 2:59,62.7
2/6/16 3:59,64
2/6/16 4:59,64.2
2/6/16 5:59,61.7
2/6/16 6:59,63.1
2/6/16 7:59,58.6
2/6/16 8:59,52.3
2/6/16 9:59,46.6
2/6/16 10:59,43
2/6/16 11:59,40.6
2/6/16 12:59,39.8
2/6/16 13:59,42.1
2/6/16 14:59,44.2
2/6/16 15:59,44.1
2/6/16 16:59,44.3
2/6/16 17:59,65.9
2/6/16 18:59,69.4
2/6/16 19:59,67.8
2/6/16 20:59,66.1
2/6/16 21:59,66.1
2/6/16 22:59,65.7
2/6/16 23:59,62.6
2/7/16 0:59,65.1
2/7/16 1:59,61.8
2/7/16 2:59,62.9
2/7/16 3:59,65
2/7/16 4:59,64.2
2/7/16 5:59,63.3
2/7/16 6:59,60.6
2/7/16 7:59,47.1
2/7/16 8:59,44.4
2/7/16 9:59,40.5
2/7/16 10:59,37.2
2/7/16 11:59,34.4
2/7/16 12:59,33.7
2/7/16 13:59,36
2/7/16 14:59,38.5
2/7/16 15:59,41.2
2/7/16 16:59,42.5
2/7/16 17:59,63.4
2/7/16 18:59,68.5
2/7/16 19:59,68.2
2/7/16 20:59,69.2
2/7/16 21:59,65.6
2/7/16 22:59,65.8
2/7/16 23:59,63.4
2/8/16 0:59,62.6
2/8/16 1:59,58.8
2/8/16 2:59,64.7
2/8/16 3:59,66.6
2/8/16 4:59,64.3
2/8/16 5:59,62.7
2/8/16 6:59,60.1
2/8/16 7:59,38.5
2/8/16 8:59,39.9
2/8/16 9:59,39.3
2/8/16 10:59,35.8
2/8/16 11:59,34.1
2/8/16 12:59,34.6
2/8/16 13:59,34.7
2/8/16 14:59,37.7
2/8/16 15:59,41.6
2/8/16 16:59,40.6
2/8/16 17:59,68
2/8/16 18:59,70.3
2/8/16 19:59,71.3
2/8/16 20:59,67.7
2/8/16 21:59,65.9
2/8/16 22:59,64.8
2/8/16 23:59,64.3
2/9/16 0:59,68.1
2/9/16 1:59,62.8
2/9/16 2:59,64.5
2/9/16 3:59,63.4
2/9/16 4:59,64.4
2/9/16 5:59,62.6
2/9/16 6:59,63.2
2/9/16 7:59,37.4
2/9/16 8:59,37.3
2/9/16 9:59,35.8
2/9/16 10:59,36.5
2/9/16 11:59,33.8
2/9/16 12:59,33
2/9/16 13:59,34.2
2/9/16 14:59,36.9
2/9/16 15:59,41.3
2/9/16 16:59,39.9
2/9/16 17:59,65.3
2/9/16 18:59,70.9
2/9/16 19:59,72.6
2/9/16 20:59,71.7
2/9/16 21:59,69.7
2/9/16 22:59,68.3
2/9/16 23:59,64.1
2/10/16 0:59,64.1
2/10/16 1:59,62.7
2/10/16 2:59,64.8
2/10/16 3:59,64.3
2/10/16 4:59,65.6
2/10/16 5:59,67
2/10/16 6:59,66.3
2/10/16 7:59,39.8
2/10/16 8:59,40.1
2/10/16 9:59,38.8
2/10/16 10:59,36.2
2/10/16 11:59,35.4
2/10/16 12:59,34.3
2/10/16 13:59,35.7
2/10/16 14:59,39.9
2/10/16 15:59,43.1
2/10/16 16:59,42.5
2/10/16 17:59,64.1
2/10/16 18:59,71.2
2/10/16 19:59,73.8
